max_features,n_estimators,min_samples_leaf,oob_rmse
21,2500,1,8.962066632236061
20,2500,1,8.962124999283844
19,2500,1,8.963090984510044
24,2500,1,8.963965296587173
25,2500,1,8.964257527785255
32,2500,1,8.96490043579115
26,2500,1,8.966490236292232
21,1000,1,8.96649345842987
19,1000,1,8.966494987718326
17,2500,1,8.967040306730743
33,2500,1,8.967180697937774
27,1000,1,8.967361611207224
23,2500,1,8.96737480989644
27,2500,1,8.967764280106833
29,2500,1,8.96792331697743
25,1000,1,8.969027370311414
35,2500,1,8.969970401094075
30,2500,1,8.97012682556397
36,2500,1,8.970322027748404
18,2500,1,8.970543426941255
28,2500,1,8.970547433417508
38,2500,1,8.971079278087858
29,1000,1,8.971285808077441
37,2500,1,8.971556997359205
22,2500,1,8.971569663235057
32,1000,1,8.972041794187342
15,2500,1,8.972126667115804
22,1000,1,8.9722793865751
34,2500,1,8.972541627196014
20,1000,1,8.972877443551607
24,1000,1,8.97306331263199
31,2500,1,8.973214352203
14,2500,1,8.973307279748312
16,2500,1,8.973910902974424
13,2500,1,8.974579214943486
39,2500,1,8.974794029284364
31,1000,1,8.975118798607774
40,2500,1,8.975224592071996
8,2500,1,8.975877042085763
17,1000,1,8.976827403294898
15,1000,1,8.977012918386377
38,1000,1,8.978520006842269
39,1000,1,8.978583009024181
12,2500,1,8.97871071735161
11,2500,1,8.978809171688772
33,1000,1,8.978845734695241
26,1000,1,8.979350594766531
35,1000,1,8.979417460476098
36,1000,1,8.9796327258698
23,1000,1,8.97984837334904
8,1000,1,8.980539744250288
37,1000,1,8.980729244207915
10,2500,1,8.981500791586475
30,1000,1,8.98154784988895
14,1000,1,8.981645499049753
18,1000,1,8.982357179007801
28,1000,1,8.982360924988594
9,2500,1,8.983546926135618
34,1000,1,8.985110748623072
11,1000,1,8.985321541785826
40,1000,1,8.985605219416003
13,1000,1,8.986748968174833
12,1000,1,8.988139409251678
10,1000,1,8.989512060956125
16,1000,1,8.990094808843025
6,2500,1,8.99304516650262
7,2500,1,8.993153633576874
9,1000,1,8.993699159854922
6,1000,1,8.99713398676194
5,2500,1,9.001234875037564
7,1000,1,9.00383075725063
5,1000,1,9.005294651536003
4,2500,1,9.021501034394023
3,2500,1,9.027661106027855
3,1000,1,9.02969209586683
4,1000,1,9.032353468129477
2,2500,1,9.064611535752025
2,1000,1,9.070439685451626
1,2500,1,9.12227103063847
1,1000,1,9.130280313960883
40,2500,5,9.228033322523942
39,2500,5,9.23250870661965
35,2500,5,9.233228221257868
38,2500,5,9.234501919496392
36,2500,5,9.235697252785316
40,1000,5,9.23603129267362
37,2500,5,9.23616807226219
37,1000,5,9.2383533802905
36,1000,5,9.238360817135323
35,1000,5,9.241013526864277
34,2500,5,9.24110113837895
39,1000,5,9.241201963253324
33,2500,5,9.242783399358304
38,1000,5,9.246141725196676
30,2500,5,9.247427848006772
32,2500,5,9.247510373820894
31,1000,5,9.24801878258812
30,1000,5,9.248572904965153
31,2500,5,9.249547399376047
28,2500,5,9.251082858472948
34,1000,5,9.251419965667527
29,2500,5,9.252257635374812
33,1000,5,9.252608244477505
27,1000,5,9.252732223112806
32,1000,5,9.252776301431933
28,1000,5,9.254388726311587
27,2500,5,9.255059998491715
25,2500,5,9.255583086236687
26,2500,5,9.258500300506698
29,1000,5,9.26058315759982
26,1000,5,9.261824407980004
25,1000,5,9.263320251128345
23,2500,5,9.26466378384029
24,2500,5,9.264819763562658
23,1000,5,9.266385249728385
22,2500,5,9.26913689672267
24,1000,5,9.269149982772511
22,1000,5,9.274697795506903
21,2500,5,9.277776182986381
20,2500,5,9.281921445837757
21,1000,5,9.283136339843432
19,2500,5,9.284640690959002
20,1000,5,9.285153265954667
18,2500,5,9.291787143150055
19,1000,5,9.294421497486157
18,1000,5,9.294522680727573
17,1000,5,9.298285440889087
17,2500,5,9.298454134229218
16,2500,5,9.30962702545952
15,2500,5,9.315385022221411
16,1000,5,9.319717400084674
15,1000,5,9.324670626044202
14,2500,5,9.329987614721375
13,2500,5,9.333691809867144
14,1000,5,9.334830050152101
13,1000,5,9.344918864715456
12,2500,5,9.352051100027367
12,1000,5,9.357869458072336
11,2500,5,9.360702392772966
11,1000,5,9.372849118726439
10,2500,5,9.375124889673238
10,1000,5,9.378953706395826
9,2500,5,9.397424949715033
9,1000,5,9.404451394030874
8,2500,5,9.422912714412421
8,1000,5,9.437096201367662
7,2500,5,9.457040193142992
7,1000,5,9.466045891283242
6,2500,5,9.494041980206186
6,1000,5,9.498688805223614
5,2500,5,9.539764456903711
5,1000,5,9.541005488503988
4,2500,5,9.614487016676081
4,1000,5,9.616088747102275
3,2500,5,9.719480121753564
3,1000,5,9.720573284385518
2,2500,5,9.92437357654433
2,1000,5,9.935990114495322
1,2500,5,10.513838932650382
1,1000,5,10.525524082426015
40,2500,25,10.633497212627
39,2500,25,10.6387053477506
40,1000,25,10.640779151077426
39,1000,25,10.643380678375939
38,2500,25,10.646243406665768
37,2500,25,10.651636347439341
35,2500,25,10.655829568122835
37,1000,25,10.657278291671027
38,1000,25,10.657478281797125
35,1000,25,10.658862296837755
36,2500,25,10.660063556081413
34,2500,25,10.660443985563623
34,1000,25,10.663621753923595
36,1000,25,10.671275029821334
32,2500,25,10.677040346828193
33,2500,25,10.678259779853523
32,1000,25,10.680696416716666
33,1000,25,10.68320477403075
31,2500,25,10.683926424569513
31,1000,25,10.685481356560036
30,2500,25,10.688475670635977
30,1000,25,10.694355730590296
29,2500,25,10.695015130987098
29,1000,25,10.699106791048157
28,2500,25,10.70366210575543
27,2500,25,10.703699394734215
27,1000,25,10.710036474834281
28,1000,25,10.712767726960847
26,2500,25,10.720313415107563
26,1000,25,10.726723072670012
25,2500,25,10.729009923578507
24,2500,25,10.733859766327596
25,1000,25,10.74296073915359
23,1000,25,10.744254867238146
24,1000,25,10.744990271662875
23,2500,25,10.748508067966155
22,2500,25,10.76088200335823
22,1000,25,10.763908364475292
21,2500,25,10.767828856876388
21,1000,25,10.772304340115975
20,2500,25,10.77726157176993
20,1000,25,10.786534837375815
19,2500,25,10.789339223695682
19,1000,25,10.793581924467471
18,2500,25,10.79811466225545
18,1000,25,10.79993123144608
17,2500,25,10.818808530539496
17,1000,25,10.826193842992815
16,2500,25,10.840330052599093
16,1000,25,10.84908111671938
15,2500,25,10.851634482194262
15,1000,25,10.851798974696575
14,2500,25,10.875276894768236
14,1000,25,10.876789255525415
13,2500,25,10.895101749202823
13,1000,25,10.901178515460439
12,2500,25,10.924184092821863
12,1000,25,10.924837207248471
11,2500,25,10.950477711418525
11,1000,25,10.961547383528353
10,2500,25,10.983213478541163
10,1000,25,10.987226868812192
9,2500,25,11.025664096774738
9,1000,25,11.028794921454878
8,2500,25,11.079700437278543
8,1000,25,11.086593187951982
7,2500,25,11.142275728835363
7,1000,25,11.148825924384159
6,2500,25,11.209088499712914
6,1000,25,11.210792569480049
5,2500,25,11.300142118079783
5,1000,25,11.31267341153711
